pair_id,has_complete_pdb_pair,has_complete_svg_pair,pdb_path_a,svg_path_a,compound_name_a,atom_count_a,heavy_atom_count_a,element_counts_a,pdb_path_b,svg_path_b,compound_name_b,atom_count_b,heavy_atom_count_b,element_counts_b,atom_count_delta,heavy_atom_count_delta
011,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_011a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_011a.svg,molecule_011a_0,57,25,"{""C"": 22, ""H"": 32, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_011b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_011b.svg,molecule_011b,55,25,"{""C"": 22, ""H"": 30, ""O"": 3}",-2,0
012,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_012a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_012a.svg,molecule_012a_17,51,21,"{""C"": 19, ""H"": 30, ""N"": 1, ""O"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_012b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_012b.svg,molecule_012b,44,22,"{""C"": 15, ""H"": 22, ""N"": 3, ""O"": 3, ""S"": 1}",-7,1
013,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_013a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_013a.svg,molecule_013a_124,52,27,"{""C"": 21, ""CL"": 1, ""H"": 25, ""N"": 2, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_013b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_013b.svg,molecule_013b,17,11,"{""C"": 7, ""H"": 6, ""N"": 1, ""O"": 3}",-35,-16
014,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_014a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_014a.svg,molecule_014a_0,34,21,"{""C"": 16, ""CL"": 1, ""H"": 13, ""N"": 2, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_014b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_014b.svg,molecule_014b,38,25,"{""C"": 18, ""CL"": 1, ""F"": 1, ""H"": 13, ""N"": 3, ""O"": 2}",4,4
015,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_015a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_015a.svg,molecule_015a_0,57,28,"{""C"": 22, ""F"": 1, ""H"": 29, ""O"": 5}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_015b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_015b.svg,molecule_015b,55,28,"{""C"": 21, ""F"": 1, ""H"": 27, ""O"": 6}",-2,0
016,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_016a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_016a.svg,molecule_016a_163,35,23,"{""C"": 13, ""H"": 12, ""N"": 3, ""O"": 6, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_016b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_016b.svg,molecule_016b,41,24,"{""C"": 16, ""H"": 17, ""N"": 3, ""O"": 4, ""S"": 1}",6,1
017,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_017a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_017a.svg,molecule_017a_2,34,18,"{""C"": 14, ""H"": 16, ""N"": 4}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_017b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_017b.svg,molecule_017b,44,24,"{""C"": 16, ""H"": 20, ""N"": 4, ""O"": 3, ""S"": 1}",10,6
018,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_018a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_018a.svg,molecule_018a_94,47,21,"{""C"": 16, ""H"": 26, ""N"": 1, ""O"": 4}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_018b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_018b.svg,molecule_018b,41,19,"{""C"": 16, ""H"": 22, ""N"": 1, ""O"": 2}",-6,-2
019,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_019a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_019a.svg,molecule_019a_7,41,19,"{""C"": 16, ""H"": 22, ""N"": 1, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_019b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_019b.svg,molecule_019b,42,18,"{""C"": 15, ""H"": 24, ""N"": 1, ""O"": 2}",1,-1
020,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_020a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_020a.svg,molecule_020a_0,52,22,"{""C"": 20, ""H"": 30, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_020b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_020b.svg,molecule_020b,53,32,"{""C"": 22, ""H"": 21, ""N"": 2, ""O"": 8}",1,10
021,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_021a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_021a.svg,molecule_021a_12,34,16,"{""C"": 11, ""H"": 18, ""N"": 2, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_021b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_021b.svg,molecule_021b,31,15,"{""C"": 10, ""H"": 16, ""N"": 2, ""O"": 3}",-3,-1
022,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_022a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_022a.svg,molecule_022a_0,33,21,"{""C"": 16, ""CL"": 1, ""F"": 1, ""H"": 12, ""N"": 2, ""O"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_022b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_022b.svg,molecule_022b,33,20,"{""C"": 16, ""CL"": 1, ""H"": 13, ""N"": 2, ""O"": 1}",0,-1
023,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_023a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_023a.svg,molecule_023a_30,40,23,"{""C"": 16, ""H"": 17, ""N"": 2, ""O"": 4, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_023b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_023b.svg,molecule_023b,46,27,"{""C"": 18, ""H"": 19, ""N"": 3, ""O"": 5, ""S"": 1}",6,4
024,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_024a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_024a.svg,molecule_024a_151,28,14,"{""C"": 10, ""H"": 14, ""O"": 4}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_024b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_024b.svg,molecule_024b,45,19,"{""C"": 16, ""H"": 26, ""N"": 1, ""O"": 2}",17,5
025,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_025a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_025a.svg,molecule_025a_98,58,26,"{""C"": 22, ""H"": 32, ""N"": 1, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_025b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_025b.svg,molecule_025b,42,24,"{""C"": 22, ""H"": 18, ""N"": 2}",-16,-2
026,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_026a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_026a.svg,molecule_026a_1,41,23,"{""C"": 16, ""F"": 1, ""H"": 18, ""N"": 3, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_026b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_026b.svg,molecule_026b,35,22,"{""C"": 17, ""H"": 13, ""N"": 2, ""O"": 3}",-6,-1
027,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_027a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_027a.svg,molecule_027a_1,29,13,"{""C"": 11, ""H"": 16, ""N"": 1, ""O"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_027b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_027b.svg,molecule_027b,23,12,"{""C"": 9, ""H"": 11, ""N"": 1, ""O"": 2}",-6,-1
028,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_028a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_028a.svg,molecule_028a_46,24,13,"{""C"": 9, ""CL"": 1, ""H"": 11, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_028b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_028b.svg,molecule_028b,52,27,"{""C"": 21, ""CL"": 1, ""H"": 25, ""N"": 2, ""O"": 3}",28,14
029,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_029a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_029a.svg,molecule_029a_3,31,21,"{""C"": 15, ""CL"": 2, ""H"": 10, ""N"": 2, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_029b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_029b.svg,molecule_029b,31,20,"{""C"": 15, ""CL"": 1, ""H"": 11, ""N"": 2, ""O"": 2}",0,-1
030,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_030a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_030a.svg,molecule_030a_102,60,32,"{""C"": 21, ""H"": 28, ""N"": 3, ""O"": 7, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_030b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_030b.svg,molecule_030b,28,14,"{""C"": 10, ""H"": 14, ""O"": 4}",-32,-18
031,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_031a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_031a.svg,molecule_031a_4,45,24,"{""C"": 18, ""H"": 21, ""O"": 5, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_031b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_031b.svg,molecule_031b,42,20,"{""C"": 18, ""H"": 22, ""O"": 2}",-3,-4
032,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_032a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_032a.svg,molecule_032a_73,44,25,"{""C"": 16, ""H"": 19, ""N"": 3, ""O"": 5, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_032b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_032b.svg,molecule_032b,26,12,"{""C"": 9, ""H"": 14, ""N"": 1, ""O"": 2}",-18,-13
033,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_033a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_033a.svg,molecule_033a_98,43,21,"{""C"": 17, ""H"": 22, ""N"": 1, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_033b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_033b.svg,molecule_033b,44,22,"{""C"": 17, ""H"": 22, ""N"": 1, ""O"": 4}",1,1
034,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_034a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_034a.svg,molecule_034a_6,23,12,"{""C"": 9, ""H"": 11, ""N"": 1, ""O"": 2}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_034b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_034b.svg,molecule_034b,49,23,"{""C"": 19, ""H"": 26, ""N"": 1, ""O"": 3}",26,11
035,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_035a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_035a.svg,molecule_035a_8,42,28,"{""C"": 18, ""H"": 14, ""N"": 2, ""O"": 8}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_035b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_035b.svg,molecule_035b,47,27,"{""C"": 17, ""H"": 20, ""N"": 4, ""O"": 6}",5,-1
036,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_036a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_036a.svg,molecule_036a_7,41,23,"{""C"": 16, ""F"": 1, ""H"": 18, ""N"": 3, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_036b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_036b.svg,molecule_036b,48,26,"{""C"": 19, ""F"": 1, ""H"": 22, ""N"": 3, ""O"": 3}",7,3
037,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_037a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_037a.svg,molecule_037a_12,46,25,"{""C"": 21, ""H"": 21, ""N"": 1, ""O"": 2, ""S"": 1}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_037b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_037b.svg,molecule_037b,64,33,"{""C"": 22, ""H"": 31, ""N"": 6, ""O"": 4, ""S"": 1}",18,8
038,True,True,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_038a.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_038a.svg,molecule_038a_0,32,22,"{""C"": 15, ""CL"": 1, ""H"": 10, ""N"": 3, ""O"": 3}",/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/conformers_3D/best_rocs_conformer_038b.pdb,/Users/ismailcherkaouiaadil/Downloads/dataset_Similarity_Prediction/original_training_set/images_2D/image_molecule_038b.svg,molecule_038b,30,19,"{""C"": 11, ""F"": 3, ""H"": 11, ""N"": 2, ""O"": 3}",-2,-3
